#,Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE,CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INCLUDED,INVENTORY,country
1,APPLE,"MacBook Pro 14"" Apple",F11,25-Jul-24,,SGWV41VXHGJ,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
2,APPLE,"MacBook Pro 14"" Apple",F12,25-Jul-24,,SG04HR7F5FJ,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
3,APPLE,"MacBook Pro 14"" Apple",F13,25-Jul-24,,SC956QXWQVT,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
4,APPLE,"MacBook Pro 14"" Apple",4,25-Jul-24,,SC4QHX9P6PM,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
5,APPLE,"MacBook Pro 14"" Apple",F15,25-Jul-24,,SFL446RX63T,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
6,APPLE,"MacBook Pro 14"" Apple",F16,25-Jul-24,,SH3YDC46NW1,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
7,APPLE,"MacBook Pro 14"" Apple",F17,25-Jul-24,,SGGX1WNLKPM,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,NOT INCLUDED,,IN STOCK,Singapore
8,APPLE,"MacBook Pro 14"" Apple",F18,25-Jul-24,,SCP2VY2FCJ4,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
9,APPLE,"MacBook Pro 14"" Apple",F19,25-Jul-24,,SG4XPWQR9Y3,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
10,APPLE,"MacBook Pro 14"" Apple",10,25-Jul-24,,SF47N2NK923,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,,IN STOCK,Singapore
