NAME,CATEGORY,MANUFACTURER,MODEL_NO,TOTAL QUANTITY,COUNTRY,NOTES
Logitech Pebble Keys 2 K380s Keyboard,Keyboard,Logitech,K380s,16,Singapore,Wireless keyboard
Logitech Lift Vertical Ergonomic Mouse,Mouse,Logitech,Lift,5,Singapore,Ergonomic vertical mouse
Logitech Triathlon M720 Mouse,Mouse,Logitech,M720,6,Singapore,Wireless multi-device mouse
Anker 100W Charging Solution,Power Adapter,Anker,100W,20,Singapore,USB-C charging adapter
Apple EarPods,Audio,Apple,EarPods,21,Singapore,Wired earphones
Apple Magic Mouse,Mouse,Apple,Magic Mouse,10,Singapore,Wireless mouse
Apple USB-C Digital AV Multiport Adapter,Adapter,Apple,A1621,4,Singapore,Multi-port adapter
Apple Magic Keyboard with Touch ID,Keyboard,Apple,Magic Keyboard TD,2,Singapore,Full-size keyboard with Touch ID
Apple Compact Magic Keyboard with Touch ID,Keyboard,Apple,Magic Keyboard TD Compact,11,Singapore,Compact keyboard with Touch ID
LG UHD 4K Monitor (27UP850),Monitor,LG,27UP850,2,Singapore,27-inch 4K UHD monitor
Laptop Bags,Accessories,Generic,Laptop Bag,52,Singapore,Standard laptop carrying bag
