#,Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE,CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INCLUDED,INVENTORY,country
4,APPLE,MacBook Pro 14 Apple,4,25-Jul-24,,SC4QHX9P6PM,,A2442,COMPLETED,Wise,NEW,ADP000,MacBook Pro 14 Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD,M3 Pro,11,14,36,512,,INCLUDED,,SHIPPED,Singapore
10,APPLE,MacBook Pro 14 Apple,10,25-Jul-24,,SF47N2NK923,,A2442,COMPLETED,Wise,NEW,ADP000,MacBook Pro 14 Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD,M3 Pro,11,14,36,512,,INCLUDED,,SHIPPED,Singapore
12,APPLE,MacBook Air 13 Apple,12,25-Jul-24,,SD2RJ6GXDYT,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
13,APPLE,MacBook Air 13 Apple,13,25-Jul-24,,SJT6TQY4920,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
15,APPLE,MacBook Air 13 Apple,15,25-Jul-24,,SC34WPL933J,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
16,APPLE,MacBook Air 13 Apple,16,25-Jul-24,,SMT7Y9NG7JV,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
17,APPLE,MacBook Air 13 Apple,17,25-Jul-24,,SL0341NQLFX,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
18,APPLE,MacBook Air 13 Apple,18,25-Jul-24,,SGLWMVF3C4P,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
20,APPLE,MacBook Air 13 Apple,F2.20,25-Jul-24,,SK625W7PV2L,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,IN STOCK,Singapore
21,APPLE,MacBook Air 13 Apple,21,25-Jul-24,,SJ63YHW1232,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
24,APPLE,MacBook Air 13 Apple,24,25-Jul-24,,SM232CYH6HK,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
25,APPLE,MacBook Air 13 Apple,25,25-Jul-24,,SM7G6774VM2,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
26,APPLE,MacBook Air 13 Apple,26,25-Jul-24,,SLYKN4DR4LV,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
27,APPLE,MacBook Air 13 Apple,27,25-Jul-24,,SK1FMQMT493,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
28,APPLE,MacBook Air 13 Apple,28,25-Jul-24,,SDQ367VDWW9,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
29,APPLE,MacBook Air 13 Apple,29,25-Jul-24,,SMQ07VND6WW,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
30,APPLE,MacBook Air 13 Apple,30,25-Jul-24,,SCV2N9FHT47,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
32,APPLE,MacBook Air 13 Apple,32,25-Jul-24,,SFPM74T19Q1,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
33,APPLE,MacBook Air 13 Apple,33,25-Jul-24,,SHF25T7QC0H,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
34,APPLE,MacBook Air 13 Apple,34,25-Jul-24,,SG7LCF1WMLY,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
40,APPLE,MacBook Air 13 Apple,40,25-Jul-24,,SJ2KH72Q3KD,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
41,APPLE,MacBook Air 13 Apple,41,25-Jul-24,,SLQR4TH5KFQ,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
43,APPLE,MacBook Air 13 Apple,43,25-Jul-24,,SGWC7F2TG6N,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
45,APPLE,MacBook Air 13 Apple,45,25-Jul-24,,SDCJWVCVQJD,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
46,APPLE,MacBook Air 13 Apple,46, ,,SK3PP7CHY66,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
47,APPLE,MacBook Air 13 Apple,47,25-Jul-24,,SJK7KK6JQKP,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
48,APPLE,MacBook Air 13 Apple,48,25-Jul-24,,SKNWGT9LJDF,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
49,APPLE,MacBook Air 13 Apple,49,25-Jul-24,,SL6XTHPKT4C,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
50,APPLE,MacBook Air 13 Apple,50,25-Jul-24,,SDH27CN6G6H,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
51,APPLE,MacBook Air 13 Apple,51,25-Jul-24,,SHQJHPV2XNN,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
52,APPLE,MacBook Air 13 Apple,52,25-Jul-24,,SC9TCG2Q1JP,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
53,APPLE,MacBook Air 13 Apple,53,25-Jul-24,,SKJTPWM4C9P,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
54,APPLE,MacBook Air 13 Apple,54,25-Jul-24,,SK7TD9K1GKL,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
55,APPLE,MacBook Air 13 Apple,55,25-Jul-24,,SGG9X5WGJHN,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
56,APPLE,MacBook Air 13 Apple,56,25-Jul-24,,SKW0C4G4HGY,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13 Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
