NAME,CATEGORY,MANUFACTURER,MODEL_NO,Status,TOTAL QUANTITY,COUNTRY,NOTES
Logitech Pebble Keys 2 K380s Keyboard,Keyboard,Logitech,K380s,Ready to Deploy,16,Singapore,Wireless keyboard
Logitech Lift Vertical Ergonomic Mouse,Mouse,Logitech,Lift,Ready to Deploy,5,Singapore,Ergonomic vertical mouse
Logitech Triathlon M720 Mouse,Mouse,Logitech,M720,Ready to Deploy,6,Singapore,Wireless multi-device mouse
Anker 100W Charging Solution,Power Adapter,Anker,100W,Ready to Deploy,20,Singapore,USB-C charging adapter
Apple EarPods,Audio,Apple,EarPods,Ready to Deploy,21,Singapore,Wired earphones
Apple Magic Mouse,Mouse,Apple,Magic Mouse,Ready to Deploy,10,Singapore,Wireless mouse
Apple USB-C Digital AV Multiport Adapter,Adapter,Apple,A1621,Ready to Deploy,4,Singapore,Multi-port adapter
Apple Magic Keyboard with Touch ID,Keyboard,Apple,Magic Keyboard TD,Ready to Deploy,2,Singapore,Full-size keyboard with Touch ID
Apple Compact Magic Keyboard with Touch ID,Keyboard,Apple,Magic Keyboard TD Compact,Ready to Deploy,11,Singapore,Compact keyboard with Touch ID
LG UHD 4K Monitor (27UP850),Monitor,LG,27UP850,Ready to Deploy,2,Singapore,27-inch 4K UHD monitor
Laptop Bags,Accessories,Generic,Laptop Bag,Ready to Deploy,52,Singapore,Standard laptop carrying bag
